run_length,num_runs,bnhd_median_ms,bhnd_median_ms,hbnd_median_ms,winner,hbnd_over_bhnd,pair_preference,trials,bhnd_min_ms,bhnd_max_ms,hbnd_min_ms,hbnd_max_ms
128,1,1.217834,1.250334,1.260333,BNHD,1.007997063184717,tie,5,1.159542,1.285625,1.206834,1.407708
64,2,1.1595,1.184959,1.139791,HBND,0.9618822254609652,HBND,5,1.132125,1.224459,1.125083,1.1995
32,4,1.139209,1.174583,1.144791,BNHD,0.9746361048985044,HBND,5,1.111542,1.266167,1.121791,1.191125
16,8,1.193292,1.216917,1.174417,HBND,0.965075678949345,HBND,5,1.134833,1.319334,1.149792,1.32325
8,16,1.139458,1.197875,1.219791,BNHD,1.0182957320254618,tie,5,1.146875,1.213875,1.20525,1.259084
4,32,1.156584,1.1755,1.28725,BNHD,1.0950659293917482,BHND,5,1.164083,1.238125,1.222042,1.29675
2,64,1.215834,1.216291,1.330458,BNHD,1.0938648727977103,BHND,5,1.158708,1.308625,1.310667,1.370541
1,128,1.223541,1.274791,1.431167,BNHD,1.122667951060213,BHND,5,1.22475,1.412042,1.429458,1.495125
