memory_layout,traversal,median_ms,gib_per_second,gflops,checksum,max_abs_error
BHND,BHND,1.293542,12.0792367,6.484990824,-0.804022461,0
BHND,HBND,1.572125,9.938777133,5.335840343,-0.804022461,0
BHND,BNHD,1.538375,10.15682132,5.452901926,-0.804022461,0
HBND,BHND,1.56125,10.00800641,5.373007526,-0.804022461,0
HBND,HBND,1.437458,10.86988281,5.835723896,-0.804022461,0
HBND,BNHD,2.517709,6.206038903,3.331841766,-0.804022461,0
BNHD,BHND,1.527,10.23248199,5.493521938,-0.804022461,0
BNHD,HBND,3.62875,4.305890458,2.311707337,-0.804022461,0
BNHD,BNHD,1.233958,12.66250553,6.798130893,-0.804022461,0
