memory_layout,traversal,median_ms,gib_per_second,gflops,checksum,max_abs_error
BHND,BHND,1.263625,12.36521911,6.638526462,-0.8040231329,0
BHND,HBND,1.65325,9.451081204,5.074010585,-0.8040231329,0
BHND,BNHD,1.530709,10.20768807,5.480210804,-0.8040231329,0
HBND,BHND,1.389792,11.24268955,6.035872994,-0.8040231329,0
HBND,HBND,1.314667,11.88513897,6.3807854,-0.8040231329,0
HBND,BNHD,2.0685,7.553782934,4.055406333,-0.8040231329,0
BNHD,BHND,1.49025,10.48481798,5.628993793,-0.8040231329,0
BNHD,HBND,3.543416,4.409586681,2.367378823,-0.8040231329,0
BNHD,BNHD,1.221625,12.79034073,6.866761895,-0.8040231329,0
