blocks,tokens,heads,block_size,head_dim,run_length,num_runs,trial,memory_layout,traversal,median_ms,gib_per_second,gflops,useful_flops_per_kv_byte,checksum,max_abs_error
128,2048,16,16,64,16,8,0,BNHD,BNHD,1.194958,13.07577337,7.020002377,0.5,-0.8040227056,0
128,2048,16,16,64,16,8,1,BHND,BHND,1.221959,12.78684473,6.864884992,0.5,-0.8040225897,0
128,2048,16,16,64,16,8,1,HBND,HBND,1.32325,11.80804837,6.339397695,0.5,-0.8040225897,0
128,2048,16,16,64,16,8,1,BNHD,BNHD,1.193292,13.09402896,7.029803267,0.5,-0.8040225897,0
128,2048,16,16,64,16,8,2,BHND,BHND,1.319334,11.84309659,6.358214069,0.5,-0.8040224488,0
128,2048,16,16,64,16,8,2,HBND,HBND,1.185375,13.18148265,7.076754614,0.5,-0.8040224488,0
128,2048,16,16,64,16,8,2,BNHD,BNHD,1.131542,13.8085904,7.413430522,0.5,-0.8040224488,0
128,2048,16,16,64,16,8,3,BHND,BHND,1.134833,13.76854568,7.391931676,0.5,-0.8040229048,0
128,2048,16,16,64,16,8,3,HBND,HBND,1.149792,13.58941443,7.29576132,0.5,-0.8040229048,0
128,2048,16,16,64,16,8,3,BNHD,BNHD,1.195875,13.06574684,7.014619421,0.5,-0.8040229048,0
128,2048,16,16,64,16,8,4,BHND,BHND,1.216917,12.83982392,6.893327976,0.5,-0.8040226459,0
128,2048,16,16,64,16,8,4,HBND,HBND,1.167042,13.38854986,7.187922971,0.5,-0.8040226459,0
128,2048,16,16,64,16,8,4,BNHD,BNHD,1.149583,13.59188506,7.297087727,0.5,-0.8040226459,0
128,2048,16,16,64,8,16,0,BHND,BHND,1.146875,13.6239782,7.314317602,0.5,-0.8040229954,0
128,2048,16,16,64,8,16,0,HBND,HBND,1.219791,12.80957148,6.877086321,0.5,-0.8040229954,0
128,2048,16,16,64,8,16,0,BNHD,BNHD,1.139458,13.71265988,7.361928215,0.5,-0.8040229954,0
128,2048,16,16,64,8,16,1,BHND,BHND,1.197875,13.04393196,7.002907649,0.5,-0.8040227793,0
128,2048,16,16,64,8,16,1,HBND,HBND,1.242417,12.57629282,6.751845797,0.5,-0.8040227793,0
128,2048,16,16,64,8,16,1,BNHD,BNHD,1.146458,13.62893364,7.316978031,0.5,-0.8040227793,0
128,2048,16,16,64,8,16,2,BHND,BHND,1.197792,13.04483583,7.00339291,0.5,-0.8040225718,0
128,2048,16,16,64,8,16,2,HBND,HBND,1.20525,12.96411533,6.96005642,0.5,-0.8040225718,0
128,2048,16,16,64,8,16,2,BNHD,BNHD,1.126,13.87655417,7.449918295,0.5,-0.8040225718,0
128,2048,16,16,64,8,16,3,BHND,BHND,1.213875,12.87200082,6.910602822,0.5,-0.8040226451,0
128,2048,16,16,64,8,16,3,HBND,HBND,1.2165,12.84422524,6.895690917,0.5,-0.8040226451,0
128,2048,16,16,64,8,16,3,BNHD,BNHD,1.225459,12.75032457,6.845278381,0.5,-0.8040226451,0
128,2048,16,16,64,8,16,4,BHND,BHND,1.206833,12.94711033,6.95092693,0.5,-0.8040229794,0
128,2048,16,16,64,8,16,4,HBND,HBND,1.259084,12.40981539,6.662468906,0.5,-0.8040229794,0
128,2048,16,16,64,8,16,4,BNHD,BNHD,1.128375,13.84734685,7.434237731,0.5,-0.8040229794,0
128,2048,16,16,64,4,32,0,BHND,BHND,1.164083,13.42258241,7.20619406,0.5,-0.8040227256,0
128,2048,16,16,64,4,32,0,HBND,HBND,1.222042,12.78597626,6.864418735,0.5,-0.8040227256,0
128,2048,16,16,64,4,32,0,BNHD,BNHD,1.14575,13.63735544,7.321499455,0.5,-0.8040227256,0
128,2048,16,16,64,4,32,1,BHND,BHND,1.174417,13.30447362,7.142784888,0.5,-0.8040229036,0
128,2048,16,16,64,4,32,1,HBND,HBND,1.2795,12.21180148,6.556161,0.5,-0.8040229036,0
128,2048,16,16,64,4,32,1,BNHD,BNHD,1.156584,13.50961106,7.252917211,0.5,-0.8040229036,0
128,2048,16,16,64,4,32,2,BHND,BHND,1.1755,13.29221608,7.136204168,0.5,-0.8040230292,0
128,2048,16,16,64,4,32,2,HBND,HBND,1.29675,12.04935415,6.468947754,0.5,-0.8040230292,0
128,2048,16,16,64,4,32,2,BNHD,BNHD,1.196666,13.05711034,7.009982735,0.5,-0.8040230292,0
128,2048,16,16,64,4,32,3,BHND,BHND,1.238125,12.61988894,6.775251287,0.5,-0.8040224478,0
128,2048,16,16,64,4,32,3,HBND,HBND,1.28725,12.13827928,6.516689066,0.5,-0.8040224478,0
