memory_layout,traversal,median_ms,gib_per_second,gflops,checksum,max_abs_error
BHND,BHND,37.06815,6.744334422,3.620836972,-2.508999504,0
BHND,HBND,40.427056,6.183977384,3.319997578,-2.508999504,0
BHND,BNHD,56.252135,4.444275759,2.38600238,-2.508999504,0
HBND,BHND,40.154023,6.226026219,3.342572374,-2.508999504,0
HBND,HBND,35.460908,7.050016881,3.784948992,-2.508999504,0
HBND,BNHD,46.523537,5.373624108,2.884942475,-2.508999504,0
BNHD,BHND,44.421153,5.627949369,3.02148231,-2.508999504,0
BNHD,HBND,72.181923,3.463471041,1.859436857,-2.508999504,0
BNHD,BNHD,38.493579,6.494589656,3.486756272,-2.508999504,0
